KEY,Venue,Topic Area/s 1,Topic Area/s 2,Type,Title,dblp URL,Added
noms,NOMS,systems,networks,conference,Network Operations and Management Symposium,https://dblp.uni-trier.de/db/conf/noms/,2019
nsdi,NSDI,systems,networks,conference,Symposium on Networked Systems Design and Implementation,https://dblp.uni-trier.de/db/conf/nsdi/,2019
oopsla,OOPSLA,systems,programming languages,conference,"ACM Conference on Object-Oriented Programming, Systems, Languages, and Applications",https://dblp.uni-trier.de/db/conf/oopsla/,2019
osdi,OSDI,systems,operating systems,conference,USENIX Symposium on Operating Systems Design and Implementation,https://dblp.uni-trier.de/db/conf/osdi/,2019
pact,PACT,systems,"architecture, programming languages, parallel computing",conference,International Conference on Parallel Architectures and Compilation Techniques,https://dblp.uni-trier.de/db/conf/pact/,2019
pacmpl,PACMPL,systems,"programming languages,theory",journal,Proceedings of the ACM on Programming Languages,https://dblp.org/db/journals/pacmpl/,2019
pami,PAMI,artificial intelligence,vision,journal,IEEE Transactions on Pattern Analysis & Machine Intelligence,https://dblp.uni-trier.de/db/journals/pami/,2019
percom,PERCOM,systems,"networks, operating systems, distributed systems",conference,IEEE International Conference on Pervasive Computing and Communications,https://dblp.uni-trier.de/db/conf/percom/,2019
pervasive,PERVASIVE,systems,,journal,IEEE Pervasive Computing,https://dblp.uni-trier.de/db/journals/pervasive/,2019
pldi,PLDI,systems,programming languages,conference,ACM SIGPLAN Conference on Programming Language Design and Implementation,https://dblp.uni-trier.de/db/conf/pldi/,2019
podc,PODC,systems,distributed systems,conference,ACM Symposium on Principles of Distributed Computing,https://dblp.uni-trier.de/db/conf/podc/,2019
pods,PODS,databases,,conference,ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,https://dblp.uni-trier.de/db/conf/pods/,2019
popl,POPL,theory,programming languages,conference,ACM-SIGACT Symposium on Principles of Programming Languages,https://dblp.uni-trier.de/db/conf/popl/,2019
ppopp,PPoPP,systems,parallel computing,conference,Principles and Practice of Parallel Programming,https://dblp.uni-trier.de/db/conf/ppopp/,2019
psb,PSB,bioinformatics,,conference,Pacific Symposium on Biocomputing,https://dblp.uni-trier.de/db/conf/psb/,2019
pvldb,PVLDB,databases,,journal,Proceedings of the VLDB Endowment,https://dblp.uni-trier.de/db/journals/pvldb/,2019
raid,RAID,security,systems,conference,International Symposium on Recent Advances in Intrusion Detection,https://dblp.uni-trier.de/db/conf/raid/,2019
re,RE,systems,software engineering,conference,IEEE International Requirements Engineering Conference,https://dblp.uni-trier.de/db/conf/re/,2019
recomb,RECOMB,bioinformatics,,conference,International Conference on Computational Molecular Biology,https://dblp.uni-trier.de/db/conf/recomb/,2019
rss,RSS,robotics,,conference,Robotics: Science and Systems Conference,https://dblp.uni-trier.de/db/conf/rss/,2019
rtas,RTAS,systems,embedded & real time,conference,IEEE Real-Time and Embedded Technology and Applications Symposium,https://dblp.uni-trier.de/db/conf/rtas/,2019
rtss,RTSS,systems,embedded & real time,conference,IEEE Real-Time Systems Symposium,https://dblp.uni-trier.de/db/conf/rtss/,2019
sac,SAC,other,,conference,ACM Symposium on Applied Computing,https://dblp.uni-trier.de/db/conf/sac/,2019
sacmat,SACMAT,systems,,conference,"Symposium on Access Control Models and Technologies, ACM (was RBAC)",https://dblp.uni-trier.de/db/conf/sacmat/,2019
saint,SAINT,,web technologies,conference,International Symposium on Applications and the Internet,https://dblp.uni-trier.de/db/conf/saint/,2019
